1	440
2	15
3	710
4	326
5	123
6	516
7	1642,1610
8	151
9	451
10	210
11	450
12	310
13	403B, 480
14	501
15	327A, 1121
16	612
17	673,554
18	295
19	555
20	1640, 1060, 1062, 1052, 1051, 1115
21	510A
22	851
23	85
24	480
25	451
26	333
27	130
28	780
29	461, 930
30	2022
31	706
32	1696
33	671
34	1450, 1383
35	800
36	563, 212
37	700,41
38	65
39	503*, 7015, 476*, 5070, 5085
40	955
41	210
42	332
43	334
44	332
45	700
46	311, 312
47	720
48	101, 103, 104
49	451
50	410
51	313A
52	900
53	709
54	569
55	500
56	1119, 313C
57	550
58	248
59	1387, 1385*
60	567A, 303
61	1535, 1737, 1539
62	554
63	402
64	571, 513B,
65	510B
66	311
67	884
68	325
69	405
70	1650, 1202, 1651, 1281
71	513A
72	157
73	41
74	152A*, 4
75	105
76	652
77	1741
78	980
79	313A
80	2021,2021A
81	785, 753A, 330B, 330*
82	330A
83	1415
84	859B, 859A
85	555, 303
86	227
87	750A
88	425C
89	533
90	650A, 700
91	301A
92	401A, 810, 560, 518
93	401, 518
94	875
95	1360C
96	707
97	551
98	1641
99	331
100	475
101	361
102	222
103	565
104	1384, 1385, 1540
105	285, 672B, 2075
106	402
107	613, 554
108	441
109	769
110	592
111	304
112	1960A, 1960G, 1889K
113	313C
114	850, 1061, 1159
115	960
116	562
117	779
118	660
119	1321, 1231, 1297*
120	360, 1697
121	590, 401A
122	567, 566
123	442
124	654
125	812
126	531
127	425A
128	1405
129	653
130	511
131	2019
132	47A
133	306
134	513A
135	403A
136	502
137	401A
138	1965, 1963
139	1476A
140	1940
141	450
142	676
143	1696
144	430
145	980D
146	1960D, 1689A
147	753
148	Unclassified
149	987, 1290
150	Unclassified
151	1950
152	922
153	779
154	769
155	1452
156	1451
157	157
158	1930
159	1930
160	407
161	426
162	1681B
163	410
164	1430
165	610, 461, 570
166	650A, 301A
167	802
168	1430, 2411
169	431
170	921D*
171	221
172	250A
173	236*
174	1281
175	Unclassified
176	173, 828
177	335
178	801, 1248
179	923
180	758
181	316
182	503
183	1049, 1051
184	2039
185	1876, 1313
186	510, 884
187	275A*
188	585
189	1030
190	236*
191	554, 851
192	1525A
193	400, 313C, 518
194	779
195	815, 1130
196	311
197	552, 302, 518
198	870
199	952
200	2260
